tile,window
50N_060E,15
50N_060W,2
50N_070E,15
50N_070W,2
50N_080E,15
50N_090E,16
50N_100E,16
50N_110E,16
50N_120E,16
50N_130E,16
50N_130W,2
50N_140E,17
50N_140E,16
50N_140W,2
50N_150E,17
50N_150W,2
50N_160E,17
50N_170E,17
50S_060W,7
50S_070W,7
50S_080W,7
60N_000E,8
60N_010E,8
60N_010W,8
60N_020E,8
60N_020W,8
60N_030E,8
60N_030E,15
60N_040E,15
60N_050E,15
60N_060E,15
60N_060W,2
60N_070E,15
60N_070W,2
60N_080E,15
60N_080W,2
60N_090E,16
60N_090W,2
60N_100E,16
60N_100W,2
60N_110E,16
60N_110W,2
60N_120E,16
60N_120W,2
60N_130E,16
60N_130W,2
60N_140E,17
60N_140E,16
60N_140W,2
60N_150E,17
60N_150W,2
60N_150W,1
60N_160E,17
60N_160W,1
60N_170E,17
60N_170W,1
60N_180W,1
70N_000E,8
70N_010E,8
70N_010W,8
70N_020E,8
70N_020W,8
70N_030E,8
70N_030E,15
70N_040E,15
70N_050E,15
70N_060E,15
70N_060W,2
70N_070E,15
70N_070W,2
70N_080E,15
70N_080W,2
70N_090E,16
70N_090W,2
70N_100E,16
70N_100W,2
70N_110E,16
70N_110W,2
70N_120E,16
70N_120W,2
70N_130E,16
70N_130W,2
70N_140E,17
70N_140E,16
70N_140W,2
70N_150E,17
70N_150W,2
70N_150W,1
70N_160E,17
70N_160W,1
70N_170E,17
70N_170W,1
70N_180W,1
10N_000E,12
10N_000E,10
10N_010E,12
10N_010E,10
10N_020E,12
10N_020E,11
10N_020E,12
10N_020E,10
10N_030E,12
10N_030E,11
10N_040E,12
10N_040E,11
10N_060E,18
10N_060E,11
10N_060W,5
10N_060W,4
10N_070W,5
10N_070W,4
10N_080W,5
10N_080W,4
10N_090E,19
10N_090E,18
10N_090W,5
10N_090W,4
10S_040E,14
10S_040E,12
20N_060E,18
20N_060E,11
20N_060W,5
20N_060W,4
20N_070W,5
20N_070W,4
20N_080W,5
20N_080W,4
20N_090E,19
20N_090E,18
20N_090W,5
20N_090W,4
30N_060E,18
30N_060E,11
30N_070W,4
30N_070W,3
30N_080W,4
30N_080W,3
30N_090E,19
30N_090E,18
30N_090W,4
30N_090W,3
30N_100W,4
30N_100W,3
30N_110W,4
30N_110W,3
30N_120W,4
30N_120W,3
40N_000E,9
40N_000E,8
40N_000E,8
40N_000E,10
40N_010E,8
40N_010E,10
40N_010W,9
40N_010W,8
40N_020E,8
40N_020E,11
40N_020E,8
40N_020E,10
40N_020W,9
40N_020W,8
40N_030E,8
40N_030E,11
40N_030E,15
40N_030E,11
40N_040E,15
40N_040E,11
40N_050E,15
40N_050E,11
40N_060E,18
40N_060E,15
40N_060E,18
40N_060E,11
40N_060E,15
40N_060E,11
40N_070E,18
40N_070E,15
40N_070W,4
40N_070W,3
40N_080E,18
40N_080E,15
40N_080W,4
40N_080W,3
40N_090E,19
40N_090E,18
40N_090E,18
40N_090E,16
40N_090W,4
40N_090W,3
40N_100W,4
40N_100W,3
40N_110W,4
40N_110W,3
40N_120W,4
40N_120W,3
50N_070W,3
50N_070W,2
50N_080W,3
50N_080W,2
50N_090W,3
50N_090W,2
50N_100W,3
50N_100W,2
50N_110W,3
50N_110W,2
50N_120W,3
50N_120W,2
50N_130W,3
50N_130W,2
60N_150W,2
60N_150W,1
70N_150W,2
70N_150W,1
40N_060E,18
40N_060E,15
40N_060E,11
